HDR,SYSTEM FREQUENCY DATA
FREQ,20181010135130,49.940
FREQ,20181010135145,49.922
FREQ,20181010135200,49.935
FREQ,20181010135215,49.945
FREQ,20181010135230,49.932
FREQ,20181010135245,49.967
FREQ,20181010135300,49.957
FREQ,20181010135315,49.975
FREQ,20181010135330,50.022
FREQ,20181010135345,50.010
FREQ,20181010135400,49.987
FREQ,20181010135415,49.992
FREQ,20181010135430,49.942
FREQ,20181010135445,49.945
FREQ,20181010135500,49.977
FREQ,20181010135515,50.022
FREQ,20181010135530,50.037
FREQ,20181010135545,50.062
FREQ,20181010135600,50.070
FREQ,20181010135615,50.077
FREQ,20181010135630,50.072
FREQ,20181010135645,50.050
FREQ,20181010135700,50.050
FREQ,20181010135715,50.060
FREQ,20181010135730,50.070
FREQ,20181010135745,50.057
FREQ,20181010135800,50.042
FREQ,20181010135815,50.042
FREQ,20181010135830,50.010
FREQ,20181010135845,49.977
FREQ,20181010135900,49.947
FREQ,20181010135915,49.942
FREQ,20181010135930,49.940
FREQ,20181010135945,49.955
FREQ,20181010140000,49.932
FREQ,20181010140015,49.895
FREQ,20181010140030,49.907
FREQ,20181010140045,49.920
FREQ,20181010140100,49.940
FREQ,20181010140115,49.917
FREQ,20181010140130,49.877
FREQ,20181010140145,49.867
FREQ,20181010140200,49.872
FREQ,20181010140215,49.842
FREQ,20181010140230,49.847
FREQ,20181010140245,49.917
FREQ,20181010140300,49.922
FREQ,20181010140315,49.940
FREQ,20181010140330,49.952
FREQ,20181010140345,49.992
FREQ,20181010140400,50.022
FREQ,20181010140415,50.035
FREQ,20181010140430,50.032
FREQ,20181010140445,50.047
FREQ,20181010140500,50.052
FREQ,20181010140515,50.015
FREQ,20181010140530,50.032
FREQ,20181010140545,50.077
FREQ,20181010140600,50.090
FREQ,20181010140615,50.097
FREQ,20181010140630,50.030
FREQ,20181010140645,50.047
FREQ,20181010140700,50.060
FREQ,20181010140715,50.080
FREQ,20181010140730,50.077
FREQ,20181010140745,50.102
FREQ,20181010140800,50.090
FREQ,20181010140815,50.077
FREQ,20181010140830,50.077
FREQ,20181010140845,50.055
FREQ,20181010140900,50.070
FREQ,20181010140915,50.107
FREQ,20181010140930,50.067
FREQ,20181010140945,50.112
FREQ,20181010141000,50.102
FREQ,20181010141015,50.102
FREQ,20181010141030,50.115
FREQ,20181010141045,50.130
FREQ,20181010141100,50.122
FREQ,20181010141115,50.117
FREQ,20181010141130,50.110
FREQ,20181010141145,50.080
FREQ,20181010141200,50.082
FREQ,20181010141215,50.107
FREQ,20181010141230,50.090
FREQ,20181010141245,50.115
FREQ,20181010141300,50.095
FREQ,20181010141315,50.055
FREQ,20181010141330,50.052
FREQ,20181010141345,50.060
FREQ,20181010141400,50.032
FREQ,20181010141415,49.990
FREQ,20181010141430,49.985
FREQ,20181010141445,49.987
FREQ,20181010141500,49.975
FREQ,20181010141515,49.990
FREQ,20181010141530,49.955
FREQ,20181010141545,49.947
FREQ,20181010141600,49.955
FREQ,20181010141615,49.965
FREQ,20181010141630,49.967
FREQ,20181010141645,49.937
FREQ,20181010141700,49.942
FREQ,20181010141715,49.922
FREQ,20181010141730,49.922
FREQ,20181010141745,49.920
FREQ,20181010141800,49.925
FREQ,20181010141815,49.935
FREQ,20181010141830,49.927
