,settlementDate,settlementPeriod,powerSystemResourceType,quantity
321,2018-10-20,30,"""Wind Onshore""",3859.061
322,2018-10-20,30,"""Other""",50
323,2018-10-20,30,"""Nuclear""",5163
324,2018-10-20,30,"""Fossil Oil""",0
325,2018-10-20,30,"""Fossil Gas""",10522
326,2018-10-20,30,"""Fossil Hard coal""",0
327,2018-10-20,30,"""Hydro Run-of-river and poundage""",464
328,2018-10-20,30,"""Hydro Pumped Storage""",264
329,2018-10-20,30,"""Biomass""",1739
330,2018-10-20,31,"""Solar""",3660
331,2018-10-20,31,"""Wind Offshore""",1144.006
332,2018-10-20,31,"""Wind Onshore""",3939.018
333,2018-10-20,31,"""Other""",54
334,2018-10-20,31,"""Nuclear""",5153
335,2018-10-20,31,"""Fossil Oil""",0
336,2018-10-20,31,"""Fossil Gas""",10936
337,2018-10-20,31,"""Fossil Hard coal""",0
338,2018-10-20,31,"""Hydro Run-of-river and poundage""",474
339,2018-10-20,31,"""Hydro Pumped Storage""",172
340,2018-10-20,31,"""Biomass""",1738
341,2018-10-20,32,"""Solar""",2930
342,2018-10-20,32,"""Wind Offshore""",1156.286
343,2018-10-20,32,"""Wind Onshore""",3765.499
344,2018-10-20,32,"""Other""",67
345,2018-10-20,32,"""Nuclear""",5159
346,2018-10-20,32,"""Fossil Oil""",0
347,2018-10-20,32,"""Fossil Gas""",11610
348,2018-10-20,32,"""Fossil Hard coal""",0
349,2018-10-20,32,"""Hydro Run-of-river and poundage""",512
350,2018-10-20,32,"""Hydro Pumped Storage""",150
351,2018-10-20,32,"""Biomass""",1736
352,2018-10-20,33,"""Solar""",2140
353,2018-10-20,33,"""Wind Offshore""",1162.382
354,2018-10-20,33,"""Wind Onshore""",3564.17
355,2018-10-20,33,"""Other""",67
356,2018-10-20,33,"""Nuclear""",5094
357,2018-10-20,33,"""Fossil Oil""",0
358,2018-10-20,33,"""Fossil Gas""",12998
359,2018-10-20,33,"""Fossil Hard coal""",0
360,2018-10-20,33,"""Hydro Run-of-river and poundage""",513
361,2018-10-20,33,"""Hydro Pumped Storage""",258
362,2018-10-20,33,"""Biomass""",1735
363,2018-10-20,34,"""Solar""",1410
364,2018-10-20,34,"""Wind Offshore""",1117.559
365,2018-10-20,34,"""Wind Onshore""",3409.582
366,2018-10-20,34,"""Other""",66
367,2018-10-20,34,"""Nuclear""",4939
368,2018-10-20,34,"""Fossil Oil""",0
369,2018-10-20,34,"""Fossil Gas""",14754
370,2018-10-20,34,"""Fossil Hard coal""",123
371,2018-10-20,34,"""Hydro Run-of-river and poundage""",520
372,2018-10-20,34,"""Hydro Pumped Storage""",292
373,2018-10-20,34,"""Biomass""",1734
374,2018-10-20,35,"""Solar""",660
375,2018-10-20,35,"""Wind Offshore""",1147.867
376,2018-10-20,35,"""Wind Onshore""",3296.083
377,2018-10-20,35,"""Other""",67
378,2018-10-20,35,"""Nuclear""",5046
379,2018-10-20,35,"""Fossil Oil""",0
380,2018-10-20,35,"""Fossil Gas""",15476
381,2018-10-20,35,"""Fossil Hard coal""",702
382,2018-10-20,35,"""Hydro Run-of-river and poundage""",768
383,2018-10-20,35,"""Hydro Pumped Storage""",164
384,2018-10-20,35,"""Biomass""",1743
385,2018-10-20,36,"""Fossil Oil""",0
386,2018-10-20,36,"""Fossil Gas""",16058
387,2018-10-20,36,"""Fossil Hard coal""",991
388,2018-10-20,36,"""Hydro Run-of-river and poundage""",845
389,2018-10-20,36,"""Hydro Pumped Storage""",509
390,2018-10-20,36,"""Biomass""",1742
391,2018-10-20,36,"""Solar""",128
392,2018-10-20,36,"""Wind Offshore""",1110.909
393,2018-10-20,36,"""Wind Onshore""",3253.581
394,2018-10-20,36,"""Other""",67
395,2018-10-20,36,"""Nuclear""",5145
396,2018-10-20,37,"""Solar""",7
397,2018-10-20,37,"""Wind Offshore""",1015.892
398,2018-10-20,37,"""Wind Onshore""",3099.743
399,2018-10-20,37,"""Other""",66
400,2018-10-20,37,"""Nuclear""",5199
401,2018-10-20,37,"""Fossil Oil""",0
402,2018-10-20,37,"""Fossil Gas""",16225
403,2018-10-20,37,"""Fossil Hard coal""",1274
404,2018-10-20,37,"""Hydro Run-of-river and poundage""",811
405,2018-10-20,37,"""Hydro Pumped Storage""",1594
406,2018-10-20,37,"""Biomass""",1746
407,2018-10-20,38,"""Solar""",6
408,2018-10-20,38,"""Wind Offshore""",1041.131
409,2018-10-20,38,"""Wind Onshore""",2996.42
410,2018-10-20,38,"""Other""",67
411,2018-10-20,38,"""Nuclear""",5350
412,2018-10-20,38,"""Fossil Oil""",0
413,2018-10-20,38,"""Fossil Gas""",17174
414,2018-10-20,38,"""Fossil Hard coal""",1582
415,2018-10-20,38,"""Hydro Run-of-river and poundage""",797
416,2018-10-20,38,"""Hydro Pumped Storage""",1926
417,2018-10-20,38,"""Biomass""",1742
418,2018-10-20,39,"""Solar""",4
